_id,status,data.city,data.state,data.country,data.location.type,data.location.coordinates,data.current.weather.ts,data.current.weather.tp,data.current.weather.pr,data.current.weather.hu,data.current.weather.ws,data.current.weather.wd,data.current.weather.ic,data.current.pollution.ts,data.current.pollution.aqius,data.current.pollution.mainus,data.current.pollution.aqicn,data.current.pollution.maincn
5ee4e5f19ae5d010d5ad0472,success,Addis Ababa,Addis Ababa,Ethiopia,Point,"[38.757761,8.980603]",2020-06-13T02:00:00.000Z,14,1014,66,0.65,296,02n,2020-06-13T02:00:00.000Z,70,p2,30,p2
5ee4e5f19ae5d010d5ad0473,success,Jyvaskyla,Central Finland,Finland,Point,"[25.7446408,62.24447269999999]",2020-06-13T02:00:00.000Z,8,1026,81,1.5,330,03d,2020-06-13T02:00:00.000Z,42,p2,15,p1
5ee4e5f19ae5d010d5ad0474,success,Punta Arenas,Magallanes,Chile,Point,"[-70.9170683,-53.1638329]",2020-06-13T02:00:00.000Z,0,1009,69,6.7,260,04n,2020-06-13T01:00:00.000Z,12,p2,4,p2
5ee4e5f19ae5d010d5ad0475,success,Tamuning,Tamuning,USA,Point,"[144.780955,13.481809]",2020-06-13T02:00:00.000Z,30,1014,62,5.7,80,02d,2020-06-13T02:00:00.000Z,1,p2,0,p2
5ee4e5f19ae5d010d5ad0476,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad0477,success,Highland,Scotland,United Kingdom,Point,"[-4.262229,57.548577]",2020-06-13T02:00:00.000Z,12,1013,100,2.6,50,04n,2020-06-13T02:00:00.000Z,43,p2,15,p2
5ee4e5f19ae5d010d5ad0478,success,Kinshasa,Kinshasa,Democratic Republic of the Congo,Point,"[15.31366,-4.30068]",2020-06-13T02:00:00.000Z,22,1013,85,0.79,253,01n,2020-06-13T02:00:00.000Z,158,p2,93,p2
5ee4e5f19ae5d010d5ad0479,success,Gueret,Nouvelle-Aquitaine,France,Point,"[1.8778,46.1754]",2020-06-13T02:00:00.000Z,11,1007,93,2.1,180,04n,2020-06-12T23:00:00.000Z,1,n2,4,n2
5ee4e5f19ae5d010d5ad047a,success,Trois-Rivieres,Guadeloupe,France,Point,"[-61.659656,15.978441]",2020-06-13T02:00:00.000Z,27,1014,78,2.6,120,04n,2020-06-13T02:00:00.000Z,51,p2,17,p2
5ee4e5f19ae5d010d5ad047b,success,New Cairo,Cairo,Egypt,Point,"[31.47,30.03]",2020-06-13T02:00:00.000Z,28,1006,21,1,280,01n,2020-06-12T21:00:00.000Z,25,p2,9,p2
